missing_player_name,normalized_missing_player_name,club_name,decade,position,seasons_at_club,appearances,goals,source_name,source_url,confidence,reason_for_inclusion,notes
Andriy Husin,andriy husin,Dynamo Kyiv,1990s,CM/DM,1993/94-2004/05,incomplete,incomplete,ALLPLAYERS team players / Dynamo squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo and Ukraine national team midfielder; 2006 World Cup squad member; major club figure.,Stats not safely extracted in this pass; verify season-by-season totals before DB import.
Andriy Husin,andriy husin,Dynamo Kyiv,2000s,CM/DM,1993/94-2004/05,incomplete,incomplete,ALLPLAYERS team players / Dynamo squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo and Ukraine national team midfielder; 2006 World Cup squad member; major club figure.,Stats not safely extracted in this pass; verify season-by-season totals before DB import.
Yuriy Kalitvintsev,yuriy kalitvintsev,Dynamo Kyiv,1990s,AM/CM,1994/95-1999/00,incomplete,incomplete,ALLPLAYERS team players / Dynamo trophy lists,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo captain/playmaker of the 1990s; Ukraine national team player.,"Current DB contains Vladyslav Kalitvintsev, not Yuriy Kalitvintsev; not a duplicate."
Yuriy Kalitvintsev,yuriy kalitvintsev,Dynamo Kyiv,2000s,AM/CM,1994/95-1999/00,incomplete,incomplete,ALLPLAYERS team players / Dynamo trophy lists,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo captain/playmaker of the 1990s; Ukraine national team player.,"Current DB contains Vladyslav Kalitvintsev, not Yuriy Kalitvintsev; not a duplicate."
Vitaliy Kosovskyi,vitaliy kosovskyi,Dynamo Kyiv,1990s,LM,1994/95-2002/03,incomplete,incomplete,ALLPLAYERS team players / match history,https://www.allplayers.in.ua/ua/team_players/1,High,Key left midfielder of late-1990s Dynamo; Ukraine national team player.,Stats not safely extracted in this pass; inclusion is legend/national-team tier.
Vitaliy Kosovskyi,vitaliy kosovskyi,Dynamo Kyiv,2000s,LM,1994/95-2002/03,incomplete,incomplete,ALLPLAYERS team players / match history,https://www.allplayers.in.ua/ua/team_players/1,High,Key left midfielder of late-1990s Dynamo; Ukraine national team player.,Stats not safely extracted in this pass; inclusion is legend/national-team tier.
Serhiy Fedorov,serhiy fedorov,Dynamo Kyiv,1990s,CB/RB,1992/93-2008/09,incomplete,incomplete,ALLPLAYERS team players / Dynamo-2 list,https://www.allplayers.in.ua/ua/team_players/1,High,Long-serving Dynamo defender and Ukraine national team player.,ALLPLAYERS Dynamo-2 snippet separately confirms Fedorov in Dynamo system; first-team totals need verification.
Serhiy Fedorov,serhiy fedorov,Dynamo Kyiv,2000s,CB/RB,1992/93-2008/09,incomplete,incomplete,ALLPLAYERS team players / Dynamo-2 list,https://www.allplayers.in.ua/ua/team_players/1,High,Long-serving Dynamo defender and Ukraine national team player.,ALLPLAYERS Dynamo-2 snippet separately confirms Fedorov in Dynamo system; first-team totals need verification.
Yuriy Dmytrulin,yuriy dmytrulin,Dynamo Kyiv,1990s,LB/CB,1992/93-2004/05,incomplete,incomplete,ALLPLAYERS team players / Dynamo squads,https://www.allplayers.in.ua/ua/team_players/1,High,Long-serving Dynamo defender and Ukraine national team player.,Stats not safely extracted in this pass.
Yuriy Dmytrulin,yuriy dmytrulin,Dynamo Kyiv,2000s,LB/CB,1992/93-2004/05,incomplete,incomplete,ALLPLAYERS team players / Dynamo squads,https://www.allplayers.in.ua/ua/team_players/1,High,Long-serving Dynamo defender and Ukraine national team player.,Stats not safely extracted in this pass.
Taras Mykhalyk,taras mykhalyk,Dynamo Kyiv,2000s,CB/DM,2006/07-2012/13,incomplete,incomplete,ALLPLAYERS team players / Dynamo squads,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo and Ukraine national team defender/midfielder; Euro 2012 era core player.,Stats not safely extracted in this pass.
Taras Mykhalyk,taras mykhalyk,Dynamo Kyiv,2010s,CB/DM,2006/07-2012/13,incomplete,incomplete,ALLPLAYERS team players / Dynamo squads,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo and Ukraine national team defender/midfielder; Euro 2012 era core player.,Stats not safely extracted in this pass.
Florin Cernat,florin cernat,Dynamo Kyiv,2000s,AM,2001/02-2008/09,incomplete,incomplete,ALLPLAYERS team players / Dynamo match history,https://www.allplayers.in.ua/ua/team_players/1,Medium,Important Dynamo creative midfielder in early/mid-2000s; Romanian international.,Name can appear as Florin Cernat / Florin Cherna(t); verify transliteration before import.
Diogo Rincon,diogo rincon,Dynamo Kyiv,2000s,AM/FW,2002/03-2007/08,incomplete,incomplete,ALLPLAYERS team players / Dynamo match history,https://www.allplayers.in.ua/ua/team_players/1,Medium,Important foreign attacker for Dynamo in 2000s; frequent European/domestic contributor.,Verify spelling Diogo Rincón vs Diogo Rincon before import.
Mikola Shaparenko,mikola shaparenko,Dynamo Kyiv,2010s,CM/AM,2017/18-present,incomplete,incomplete,Dynamo/UAF/ALLPLAYERS squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Current-era Dynamo starter and Ukraine national team midfielder; obvious high-profile omission.,Could be transliterated Mykola Shaparenko; current exact normalized name absent.
Mikola Shaparenko,mikola shaparenko,Dynamo Kyiv,2020s,CM/AM,2017/18-present,incomplete,incomplete,Dynamo/UAF/ALLPLAYERS squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Current-era Dynamo starter and Ukraine national team midfielder; obvious high-profile omission.,Could be transliterated Mykola Shaparenko; current exact normalized name absent.
Viktor Tsygankov,viktor tsygankov,Dynamo Kyiv,2010s,RM/AM,2016/17-2022/23,incomplete,incomplete,Dynamo/UAF/ALLPLAYERS squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo captain/star winger; Ukraine national team player; major modern omission.,Could be transliterated Viktor Tsyhankov; current exact normalized name absent.
Viktor Tsygankov,viktor tsygankov,Dynamo Kyiv,2020s,RM/AM,2016/17-2022/23,incomplete,incomplete,Dynamo/UAF/ALLPLAYERS squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo captain/star winger; Ukraine national team player; major modern omission.,Could be transliterated Viktor Tsyhankov; current exact normalized name absent.
Vitaliy Buyalskyi,vitaliy buyalskyi,Dynamo Kyiv,2010s,CM/AM,2013/14-present,incomplete,incomplete,Dynamo/UAF/ALLPLAYERS squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Long-serving Dynamo midfielder and Ukraine international; captain-level modern player.,Could be transliterated Vitalii Buialskyi; current exact normalized name absent.
Vitaliy Buyalskyi,vitaliy buyalskyi,Dynamo Kyiv,2020s,CM/AM,2013/14-present,incomplete,incomplete,Dynamo/UAF/ALLPLAYERS squad records,https://www.allplayers.in.ua/ua/team_players/1,High,Long-serving Dynamo midfielder and Ukraine international; captain-level modern player.,Could be transliterated Vitalii Buialskyi; current exact normalized name absent.
Anatoliy Tymoshchuk,anatoliy tymoshchuk,Shakhtar Donetsk,1990s,DM/CM,1997/98-2006/07,227,32,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/2,High,Shakhtar captain/legend; Ukraine national team captain; top Shakhtar appearance list.,"ALLPLAYERS snippet lists Tymoshchuk 10 seasons, 227 matches, 32 goals for Shakhtar."
Anatoliy Tymoshchuk,anatoliy tymoshchuk,Shakhtar Donetsk,2000s,DM/CM,1997/98-2006/07,227,32,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/2,High,Shakhtar captain/legend; Ukraine national team captain; top Shakhtar appearance list.,"ALLPLAYERS snippet lists Tymoshchuk 10 seasons, 227 matches, 32 goals for Shakhtar."
Brandao,brandao,Shakhtar Donetsk,2000s,FW,2002/03-2008/09,140,65,ALLPLAYERS team players / club scorers,https://www.allplayers.in.ua/ua/team_players/2,High,Top Shakhtar scorer of 2000s; major domestic/european contributor.,"ALLPLAYERS snippets list Brandao 7 seasons, 140 matches, 65 goals."
Gennadiy Zubov,gennadiy zubov,Shakhtar Donetsk,1990s,RM/AM,1994/95-2003/04,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/2,High,Shakhtar winger/playmaker of 1990s/early 2000s; Ukrainian international.,ALLPLAYERS snippet identifies Zubov near top Shakhtar list; stats not safely extracted.
Gennadiy Zubov,gennadiy zubov,Shakhtar Donetsk,2000s,RM/AM,1994/95-2003/04,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/2,High,Shakhtar winger/playmaker of 1990s/early 2000s; Ukrainian international.,ALLPLAYERS snippet identifies Zubov near top Shakhtar list; stats not safely extracted.
Serhiy Atelkin,serhiy atelkin,Shakhtar Donetsk,1990s,FW,1992-1997; 2000-2002,183,61,ALLPLAYERS club scorers,https://www.allplayers.in.ua/ua/team_players/2,High,Shakhtar top scorer/legend of 1990s; Ukraine national team forward.,ALLPLAYERS club snippet lists Atelkin 183/61 among Shakhtar best scorers.
Serhiy Atelkin,serhiy atelkin,Shakhtar Donetsk,2000s,FW,1992-1997; 2000-2002,183,61,ALLPLAYERS club scorers,https://www.allplayers.in.ua/ua/team_players/2,High,Shakhtar top scorer/legend of 1990s; Ukraine national team forward.,ALLPLAYERS club snippet lists Atelkin 183/61 among Shakhtar best scorers.
Oleg Matveev,oleg matveev,Shakhtar Donetsk,1990s,FW,1992-1999,incomplete,incomplete,ALLPLAYERS club scorers,https://www.allplayers.in.ua/ua/team_players/2,High,1990s Shakhtar top scorer; Ukrainian league top-scorer level player.,ALLPLAYERS club snippet lists Matveev among Shakhtar best scorers; verify exact total.
Olexiy Belik,olexiy belik,Shakhtar Donetsk,2000s,FW,1999/00-2007/08,incomplete,incomplete,ALLPLAYERS team players / champions list,https://www.allplayers.in.ua/ua/team_players/2,High,Shakhtar striker and Ukraine national team player; early-2000s key forward.,Could be transliterated Oleksiy Bielik / Oleksii Belik; verify spelling.
Elano,elano,Shakhtar Donetsk,2000s,CM/AM,2004/05-2006/07,incomplete,incomplete,ALLPLAYERS champions list / match history,https://www.allplayers.in.ua/ua/team_players/2,Medium,Brazil international and 2005/06 Shakhtar champion; notable foreign player.,Shorter tenure but high profile; include in Legends Pass because of reputation.
Mariusz Lewandowski,mariusz lewandowski,Shakhtar Donetsk,2000s,DM/CB,2001/02-2009/10,incomplete,incomplete,ALLPLAYERS champions list,https://www.allplayers.in.ua/ua/team_players/2,High,Long-serving Shakhtar midfielder/defender; Poland international.,Verify decade split; played through 2000s and into 2009/10.
Mariusz Lewandowski,mariusz lewandowski,Shakhtar Donetsk,2010s,DM/CB,2001/02-2009/10,incomplete,incomplete,ALLPLAYERS champions list,https://www.allplayers.in.ua/ua/team_players/2,High,Long-serving Shakhtar midfielder/defender; Poland international.,Verify decade split; played through 2000s and into 2009/10.
Serhiy Valyayev,serhiy valyayev,Metalist Kharkiv,2000s,CM/DM,2005/06-2011/12,incomplete,incomplete,ALLPLAYERS team players / national match records,https://www.allplayers.in.ua/ua/team_players/4,High,Metalist bronze-era core midfielder and Ukraine national team player.,ALLPLAYERS national match snippets show Valyayev in Ukraine squad while at Metalist; exact Metalist total not safely extracted.
Serhiy Valyayev,serhiy valyayev,Metalist Kharkiv,2010s,CM/DM,2005/06-2011/12,incomplete,incomplete,ALLPLAYERS team players / national match records,https://www.allplayers.in.ua/ua/team_players/4,High,Metalist bronze-era core midfielder and Ukraine national team player.,ALLPLAYERS national match snippets show Valyayev in Ukraine squad while at Metalist; exact Metalist total not safely extracted.
Vadym Goldin,vadym goldin,Metalist Kharkiv,1990s,MF,1990s-2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/4,Medium,High appearance ranking in Metalist list; likely significant long-term player.,ALLPLAYERS snippet shows Goldin near Metalist top players; exact stats not safely extracted.
Vadym Goldin,vadym goldin,Metalist Kharkiv,2000s,MF,1990s-2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/4,Medium,High appearance ranking in Metalist list; likely significant long-term player.,ALLPLAYERS snippet shows Goldin near Metalist top players; exact stats not safely extracted.
Oleksiy Godin,oleksiy godin,Metalurg Zaporizhya,2000s,CM/AM,2000/01-2014/15,incomplete,incomplete,ALLPLAYERS season squads / match history,https://www.allplayers.in.ua/ua/team_players/11,High,"Metalurg Zaporizhya long-term midfielder, captain/club figure; explicitly expected missing player.",ALLPLAYERS snippets confirm Godin in 2001/02 squad and 2005/06 squad; 2014/15 Football24 snippet lists him among first-team players sent to reserves.
Oleksiy Godin,oleksiy godin,Metalurg Zaporizhya,2010s,CM/AM,2000/01-2014/15,incomplete,incomplete,ALLPLAYERS season squads / match history,https://www.allplayers.in.ua/ua/team_players/11,High,"Metalurg Zaporizhya long-term midfielder, captain/club figure; explicitly expected missing player.",ALLPLAYERS snippets confirm Godin in 2001/02 squad and 2005/06 squad; 2014/15 Football24 snippet lists him among first-team players sent to reserves.
Dmytro Nevmyvaka,dmytro nevmyvaka,Metalurg Zaporizhya,2000s,CB,2005/06-2014/15,incomplete,incomplete,ALLPLAYERS / Football24 squad references,https://www.allplayers.in.ua/ua/team_players/11,High,Long-serving Metalurg Zaporizhya defender and captain-level player.,Football24 snippet lists Nevmyvaka among main first-team players in 2014/15; verify exact league total.
Dmytro Nevmyvaka,dmytro nevmyvaka,Metalurg Zaporizhya,2010s,CB,2005/06-2014/15,incomplete,incomplete,ALLPLAYERS / Football24 squad references,https://www.allplayers.in.ua/ua/team_players/11,High,Long-serving Metalurg Zaporizhya defender and captain-level player.,Football24 snippet lists Nevmyvaka among main first-team players in 2014/15; verify exact league total.
Volodymyr Polevyi,volodymyr polevyi,Metalurg Zaporizhya,2000s,LB/LM,2008/09-2013/14,incomplete,incomplete,ALLPLAYERS / squad references,https://www.allplayers.in.ua/ua/team_players/11,Medium,Ukraine national team-level left-sided player; important Metalurg 2000s/2010s figure.,Spelling may be Volodymyr Polyovyi/Poleviy; verify transliteration.
Volodymyr Polevyi,volodymyr polevyi,Metalurg Zaporizhya,2010s,LB/LM,2008/09-2013/14,incomplete,incomplete,ALLPLAYERS / squad references,https://www.allplayers.in.ua/ua/team_players/11,Medium,Ukraine national team-level left-sided player; important Metalurg 2000s/2010s figure.,Spelling may be Volodymyr Polyovyi/Poleviy; verify transliteration.
Tymerlan Huseynov,tymerlan huseynov,Chornomorets Odesa,1990s,FW,1993/94-1997/98,incomplete,incomplete,ALLPLAYERS season scorers / club records,https://www.allplayers.in.ua/ua/team_players/5,High,Chornomorets legend and Ukrainian league top scorer; national team forward.,ALLPLAYERS season-scorer snippet lists Huseynov as 1995/96 top scorer with Chornomorets (20 goals).
Yuriy Nikiforov,yuriy nikiforov,Chornomorets Odesa,1990s,CB,1992-1993,incomplete,incomplete,ALLPLAYERS / historical squads,https://www.allplayers.in.ua/ua/team_players/5,Medium,"High-profile defender, Ukraine/Russia international; Chornomorets early-1990s figure.","Shorter independent-Ukraine tenure; include as high-profile candidate, verify exact official matches."
Ihor Zhabchenko,ihor zhabchenko,Chornomorets Odesa,1990s,MF,1990s,incomplete,incomplete,ALLPLAYERS / historical squads,https://www.allplayers.in.ua/ua/team_players/5,Medium,Notable Chornomorets 1990s player; Ukraine national team-level career.,Stats need verification.
Olexandr Kosyrin,olexandr kosyrin,Chornomorets Odesa,2000s,FW,2000s-2010s,incomplete,incomplete,ALLPLAYERS team/scorer records,https://www.allplayers.in.ua/ua/team_players/5,High,Notable Chornomorets striker and Ukrainian league top scorer-level player.,Could be transliterated Oleksandr Kosyrin; verify spelling.
Olexandr Kosyrin,olexandr kosyrin,Chornomorets Odesa,2010s,FW,2000s-2010s,incomplete,incomplete,ALLPLAYERS team/scorer records,https://www.allplayers.in.ua/ua/team_players/5,High,Notable Chornomorets striker and Ukrainian league top scorer-level player.,Could be transliterated Oleksandr Kosyrin; verify spelling.
Ihor Khudobyak,ihor khudobyak,Karpaty Lviv,2000s,AM/CM,2005/06-2016/17,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/6,High,ALLPLAYERS lists Khudobyak #1 for Karpaty; club legend and long-term captain-level player.,Source snippet identifies him as top Karpaty appearance player; exact total not safely extracted.
Ihor Khudobyak,ihor khudobyak,Karpaty Lviv,2010s,AM/CM,2005/06-2016/17,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/6,High,ALLPLAYERS lists Khudobyak #1 for Karpaty; club legend and long-term captain-level player.,Source snippet identifies him as top Karpaty appearance player; exact total not safely extracted.
Serhiy Kuznetsov,serhiy kuznetsov,Karpaty Lviv,2000s,FW,2008/09-2011/12,incomplete,incomplete,ALLPLAYERS / scorer records,https://www.allplayers.in.ua/ua/team_players/6,Medium,Notable Karpaty striker during European-qualification era.,Could be lower than appearance legends; include for Legends Pass due goal contribution.
Serhiy Kuznetsov,serhiy kuznetsov,Karpaty Lviv,2010s,FW,2008/09-2011/12,incomplete,incomplete,ALLPLAYERS / scorer records,https://www.allplayers.in.ua/ua/team_players/6,Medium,Notable Karpaty striker during European-qualification era.,Could be lower than appearance legends; include for Legends Pass due goal contribution.
Hennadiy Medvedyev,hennadiy medvedyev,Vorskla Poltava,1990s,CB,1990s-2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/8,High,ALLPLAYERS lists Medvedyev #3 for Vorskla; long-term club defender.,Exact transliteration Medvedev/Medvedyev may vary.
Hennadiy Medvedyev,hennadiy medvedyev,Vorskla Poltava,2000s,CB,1990s-2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/8,High,ALLPLAYERS lists Medvedyev #3 for Vorskla; long-term club defender.,Exact transliteration Medvedev/Medvedyev may vary.
Serhiy Dolhanskyi,serhiy dolhanskyi,Vorskla Poltava,2000s,GK,2000s-2010s,incomplete,incomplete,ALLPLAYERS / Vorskla squad records,https://www.allplayers.in.ua/ua/team_players/8,High,Long-serving Vorskla goalkeeper and captain-level figure.,Verify exact appearances.
Serhiy Dolhanskyi,serhiy dolhanskyi,Vorskla Poltava,2010s,GK,2000s-2010s,incomplete,incomplete,ALLPLAYERS / Vorskla squad records,https://www.allplayers.in.ua/ua/team_players/8,High,Long-serving Vorskla goalkeeper and captain-level figure.,Verify exact appearances.
Andriy Pylyavskyi,andriy pylyavskyi,Vorskla Poltava,2010s,CB,2010s,incomplete,incomplete,ALLPLAYERS / Vorskla squad records,https://www.allplayers.in.ua/ua/team_players/8,Medium,Notable Vorskla defender with Ukraine national-team orbit.,Potential transliteration duplicate risk; verify.
Vyacheslav Checher,vyacheslav checher,Metalurg Donetsk (- 2015),2000s,CB,2000s-2010s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,High,ALLPLAYERS lists Checher #1 for Metalurg Donetsk; long-term captain-level defender.,Exact stats not safely extracted.
Vyacheslav Checher,vyacheslav checher,Metalurg Donetsk (- 2015),2010s,CB,2000s-2010s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,High,ALLPLAYERS lists Checher #1 for Metalurg Donetsk; long-term captain-level defender.,Exact stats not safely extracted.
Serhiy Shyshchenko,serhiy shyshchenko,Metalurg Donetsk (- 2015),1990s,AM/FW,1990s-2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,High,ALLPLAYERS lists Shyshchenko #2 for Metalurg Donetsk; major attacking figure.,Verify decade split.
Serhiy Shyshchenko,serhiy shyshchenko,Metalurg Donetsk (- 2015),2000s,AM/FW,1990s-2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,High,ALLPLAYERS lists Shyshchenko #2 for Metalurg Donetsk; major attacking figure.,Verify decade split.
Djordje Lazic,djordje lazic,Metalurg Donetsk (- 2015),2000s,CM,2008/09-2012/13,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,ALLPLAYERS lists Lazic #3 for Metalurg Donetsk; long-term foreign core player.,Verify spelling Đorđe Lazić.
Djordje Lazic,djordje lazic,Metalurg Donetsk (- 2015),2010s,CM,2008/09-2012/13,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,ALLPLAYERS lists Lazic #3 for Metalurg Donetsk; long-term foreign core player.,Verify spelling Đorđe Lazić.
Sergiy Tkachenko,sergiy tkachenko,Metalurg Donetsk (- 2015),2000s,GK,2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,ALLPLAYERS lists Tkachenko #4 for Metalurg Donetsk; significant goalkeeper.,May have multiple Serhiy Tkachenko profiles; verify player ID before import.
Serhiy Zakarlyuka,serhiy zakarlyuka,Arsenal Kyiv ( -2019),2000s,AM/CM,2000s-2010s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/16,High,ALLPLAYERS lists Zakarlyuka #2 for Arsenal Kyiv; major UPL playmaker.,Verify exact spelling Zakarlyuka/Zakarluka.
Serhiy Zakarlyuka,serhiy zakarlyuka,Arsenal Kyiv ( -2019),2010s,AM/CM,2000s-2010s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/16,High,ALLPLAYERS lists Zakarlyuka #2 for Arsenal Kyiv; major UPL playmaker.,Verify exact spelling Zakarlyuka/Zakarluka.
Eduard Tsykhmeystruk,eduard tsykhmeystruk,Arsenal Kyiv ( -2019),2000s,CM,2000s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/16,Medium,ALLPLAYERS lists Tsykhmeystruk #3 for Arsenal Kyiv; notable midfielder.,Verify transliteration.
Vasyl Hrytsuk,vasyl hrytsuk,PFC Oleksandriya,2010s,AM/CM,2010s-2020s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/25,High,ALLPLAYERS lists Hrytsuk #2 for PFC Oleksandriya; major club figure and scorer.,Verify if club entity should be PFC Oleksandriya vs FC Oleksandriya.
Yevhen Banada,yevhen banada,PFC Oleksandriya,2010s,DM/CM,2010s-2020s,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/25,High,ALLPLAYERS lists Banada #3 for PFC Oleksandriya; long-term core midfielder.,Current DB exact normalized absent.
Serhiy Loginov,serhiy loginov,SC Dnipro-1,2010s,CB,2017/18-2022/23,incomplete,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/3056,High,ALLPLAYERS lists Loginov #1 for SC Dnipro-1; club founding-era captain/defender.,Verify spelling Loginov/Lohinov.
