player_name,club_name,decade,position,goals,assists,clean_sheets,minutes_played,seasons_count,source_urls,confidence,notes
Valentyn Platonov,Kryvbas Kryvyi Rig,2000s,MF/DF,,,,,,https://www.allplayers.in.ua/ua/team_players/10 ; https://fckryvbas.com/post/valentin-platonov-krivbasu-bude-vazhko-adzhe-viktoriya-dosvidchenii-yevropeiskii-boyec,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1996-2004.
Oleksandr Granovskyi,Kryvbas Kryvyi Rig,1990s,CB,,,,,,https://www.allplayers.in.ua/ua/team_players/10,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Oleksandr Granovskyi,Kryvbas Kryvyi Rig,2000s,CB,,,,,,https://www.allplayers.in.ua/ua/team_players/10,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Oleh Fedyukov,Volyn Lutsk,1990s,DF,,,,,,https://www.volynnews.com/news/sport/lutskomu-mateusu-sohodni-50-rokiv/ ; https://uk.wikipedia.org/wiki/Федюков_Олег_Іванович ; https://www.allplayers.in.ua/ua/team_players/17,Medium,"Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1989-2003, with brief 1994 Karpaty spell."
Oleh Fedyukov,Volyn Lutsk,2000s,DF,,,,,,https://www.volynnews.com/news/sport/lutskomu-mateusu-sohodni-50-rokiv/ ; https://uk.wikipedia.org/wiki/Федюков_Олег_Іванович ; https://www.allplayers.in.ua/ua/team_players/17,Medium,"Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1989-2003, with brief 1994 Karpaty spell."
Volodymyr Mozolyuk,Volyn Lutsk,1990s,FW,,,,,,https://www.allplayers.in.ua/ua/team_scorers/17 ; https://uk.wikipedia.org/wiki/Мозолюк_Володимир_Данилович,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1995-1996; 1997-2000 plus earlier Soviet/Ukraine years.
Vasyl Sachko,Volyn Lutsk,2000s,FW,,,,,,https://www.allplayers.in.ua/ua/team_scorers/17,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 5 seasons.
Oleksandr Pyschur,Volyn Lutsk,2000s,FW,,,,,,https://www.allplayers.in.ua/ua/team_scorers/17,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 7 seasons.
Oleksandr Pyschur,Volyn Lutsk,2010s,FW,,,,,,https://www.allplayers.in.ua/ua/team_scorers/17,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 7 seasons.
Ihor Luchkevych,Metalurg Zaporizhya,1990s,MF,,,,,,https://www.allplayers.in.ua/ru/club/11 ; https://www.fcmetalurg.com/club/history/v-chempionate-ukrainy/,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s.
Yuriy Markin,Metalurg Zaporizhya,1990s,DF,,,,,,https://www.allplayers.in.ua/ru/club/11 ; https://www.fcmetalurg.com/club/history/v-chempionate-ukrainy/,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s.
Serhiy Kliuchyk,Metalurg Zaporizhya,1990s,MF,,,,,,https://www.allplayers.in.ua/ru/club/11 ; https://www.fcmetalurg.com/club/history/v-chempionate-ukrainy/,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Andriy Demchenko,Metalurg Zaporizhya,1990s,MF,,,,,,https://www.allplayers.in.ua/ru/club/11,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Andriy Demchenko,Metalurg Zaporizhya,2000s,MF,,,,,,https://www.allplayers.in.ua/ru/club/11,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Anatoliy Mushchynka,Metalurg Zaporizhya,1990s,MF,,,,,,https://www.fcmetalurg.com/club/history/v-chempionate-ukrainy/ ; https://www.allplayers.in.ua/ua/club_national_player/11,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992 season / early 1990s.
Oleksandr Shovkovskyi,Dynamo Kyiv,1990s,GK,0,,,,7,https://www.allplayers.in.ua/ua/team_players/1,Medium,Generated season scaffold from exact club spell 1993/94-2016/17; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Oleksandr Shovkovskyi,Dynamo Kyiv,2000s,GK,0,,,,10,https://www.allplayers.in.ua/ua/team_players/1,Medium,Generated season scaffold from exact club spell 1993/94-2016/17; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Oleksandr Shovkovskyi,Dynamo Kyiv,2010s,GK,0,,,,7,https://www.allplayers.in.ua/ua/team_players/1,Medium,Generated season scaffold from exact club spell 1993/94-2016/17; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Oleg Gusev,Dynamo Kyiv,2000s,RM/RB,,,,,7,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2003/04-2016/17; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Oleg Gusev,Dynamo Kyiv,2010s,RM/RB,,,,,7,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2003/04-2016/17; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Vladyslav Vashchuk,Dynamo Kyiv,1990s,CB,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1993/94-2002/03; 2005/06-2007/08.
Vladyslav Vashchuk,Dynamo Kyiv,2000s,CB,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1993/94-2002/03; 2005/06-2007/08.
Serhiy Rebrov,Dynamo Kyiv,1990s,FW/AM,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992/93-1999/00; 2005/06-2007/08.
Serhiy Rebrov,Dynamo Kyiv,2000s,FW/AM,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992/93-1999/00; 2005/06-2007/08.
Andriy Nesmachnyi,Dynamo Kyiv,1990s,LB,,,,,3,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1997/98-2010/11; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Andriy Nesmachnyi,Dynamo Kyiv,2000s,LB,,,,,10,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1997/98-2010/11; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Andriy Nesmachnyi,Dynamo Kyiv,2010s,LB,,,,,1,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1997/98-2010/11; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Valentyn Belkevych,Dynamo Kyiv,1990s,AM/CM,,,,,4,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1996/97-2007/08; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Valentyn Belkevych,Dynamo Kyiv,2000s,AM/CM,,,,,8,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1996/97-2007/08; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Andriy Husin,Dynamo Kyiv,1990s,CM/DM,,,,,7,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1993/94-2004/05; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Andriy Husin,Dynamo Kyiv,2000s,CM/DM,,,,,5,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1993/94-2004/05; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Yuriy Kalitvintsev,Dynamo Kyiv,1990s,AM/CM,,,,,6,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1994/95-1999/00; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Yuriy Kalitvintsev,Dynamo Kyiv,2000s,AM/CM,,,,,0,https://www.allplayers.in.ua/ua/team_players/1,Low,"Exact club spell 1994/95-1999/00 does not produce seasons inside requested decade under season-start-year rule; keep row for audit, but do not import without manual review."
Vitaliy Kosovskyi,Dynamo Kyiv,1990s,LM,,,,,6,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1994/95-2002/03; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Vitaliy Kosovskyi,Dynamo Kyiv,2000s,LM,,,,,3,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1994/95-2002/03; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Serhiy Fedorov,Dynamo Kyiv,1990s,CB/RB,,,,,8,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1992/93-2008/09; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Serhiy Fedorov,Dynamo Kyiv,2000s,CB/RB,,,,,9,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1992/93-2008/09; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Yuriy Dmytrulin,Dynamo Kyiv,1990s,LB/CB,,,,,8,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1992/93-2004/05; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Yuriy Dmytrulin,Dynamo Kyiv,2000s,LB/CB,,,,,5,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 1992/93-2004/05; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Taras Mykhalyk,Dynamo Kyiv,2000s,CB/DM,,,,,4,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2006/07-2012/13; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Taras Mykhalyk,Dynamo Kyiv,2010s,CB/DM,,,,,3,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2006/07-2012/13; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Florin Cernat,Dynamo Kyiv,2000s,AM,,,,,8,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2001/02-2008/09; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Diogo Rincon,Dynamo Kyiv,2000s,AM/FW,,,,,6,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2002/03-2007/08; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Mikola Shaparenko,Dynamo Kyiv,2010s,CM/AM,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2017/18-present.
Mikola Shaparenko,Dynamo Kyiv,2020s,CM/AM,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2017/18-present.
Viktor Tsygankov,Dynamo Kyiv,2010s,RM/AM,,,,,4,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2016/17-2022/23; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Viktor Tsygankov,Dynamo Kyiv,2020s,RM/AM,,,,,3,https://www.allplayers.in.ua/ua/team_players/1,Low,Generated season scaffold from exact club spell 2016/17-2022/23; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Vitaliy Buyalskyi,Dynamo Kyiv,2010s,CM/AM,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2013/14-present.
Vitaliy Buyalskyi,Dynamo Kyiv,2020s,CM/AM,,,,,,https://www.allplayers.in.ua/ua/team_players/1,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2013/14-present.
Anatoliy Tymoshchuk,Shakhtar Donetsk,1990s,DM/CM,,,,,3,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 1997/98-2006/07; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Anatoliy Tymoshchuk,Shakhtar Donetsk,2000s,DM/CM,,,,,7,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 1997/98-2006/07; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Brandao,Shakhtar Donetsk,2000s,FW,,,,,7,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 2002/03-2008/09; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Gennadiy Zubov,Shakhtar Donetsk,1990s,RM/AM,,,,,6,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 1994/95-2003/04; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Gennadiy Zubov,Shakhtar Donetsk,2000s,RM/AM,,,,,4,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 1994/95-2003/04; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Serhiy Atelkin,Shakhtar Donetsk,1990s,FW,,,,,,https://www.allplayers.in.ua/ua/team_players/2,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992-1997; 2000-2002.
Serhiy Atelkin,Shakhtar Donetsk,2000s,FW,,,,,,https://www.allplayers.in.ua/ua/team_players/2,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992-1997; 2000-2002.
Oleg Matveev,Shakhtar Donetsk,1990s,FW,,,,,,https://www.allplayers.in.ua/ua/team_players/2,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992-1999.
Olexiy Belik,Shakhtar Donetsk,2000s,FW,,,,,8,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 1999/00-2007/08; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Elano,Shakhtar Donetsk,2000s,CM/AM,,,,,3,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 2004/05-2006/07; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Mariusz Lewandowski,Shakhtar Donetsk,2000s,DM/CB,,,,,9,https://www.allplayers.in.ua/ua/team_players/2,Low,Generated season scaffold from exact club spell 2001/02-2009/10; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Mariusz Lewandowski,Shakhtar Donetsk,2010s,DM/CB,,,,,0,https://www.allplayers.in.ua/ua/team_players/2,Low,"Exact club spell 2001/02-2009/10 does not produce seasons inside requested decade under season-start-year rule; keep row for audit, but do not import without manual review."
Serhiy Valyayev,Metalist Kharkiv,2000s,CM/DM,,,,,5,https://www.allplayers.in.ua/ua/team_players/4,Low,Generated season scaffold from exact club spell 2005/06-2011/12; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Serhiy Valyayev,Metalist Kharkiv,2010s,CM/DM,,,,,2,https://www.allplayers.in.ua/ua/team_players/4,Low,Generated season scaffold from exact club spell 2005/06-2011/12; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Vadym Goldin,Metalist Kharkiv,1990s,MF,,,,,,https://www.allplayers.in.ua/ua/team_players/4,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Vadym Goldin,Metalist Kharkiv,2000s,MF,,,,,,https://www.allplayers.in.ua/ua/team_players/4,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Oleksiy Godin,Metalurg Zaporizhya,2000s,CM/AM,,,,,10,https://www.allplayers.in.ua/ua/team_players/11,Low,Generated season scaffold from exact club spell 2000/01-2014/15; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Oleksiy Godin,Metalurg Zaporizhya,2010s,CM/AM,,,,,5,https://www.allplayers.in.ua/ua/team_players/11,Low,Generated season scaffold from exact club spell 2000/01-2014/15; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Dmytro Nevmyvaka,Metalurg Zaporizhya,2000s,CB,,,,,5,https://www.allplayers.in.ua/ua/team_players/11,Low,Generated season scaffold from exact club spell 2005/06-2014/15; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Dmytro Nevmyvaka,Metalurg Zaporizhya,2010s,CB,,,,,5,https://www.allplayers.in.ua/ua/team_players/11,Low,Generated season scaffold from exact club spell 2005/06-2014/15; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Volodymyr Polevyi,Metalurg Zaporizhya,2000s,LB/LM,,,,,2,https://www.allplayers.in.ua/ua/team_players/11,Low,Generated season scaffold from exact club spell 2008/09-2013/14; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Volodymyr Polevyi,Metalurg Zaporizhya,2010s,LB/LM,,,,,4,https://www.allplayers.in.ua/ua/team_players/11,Low,Generated season scaffold from exact club spell 2008/09-2013/14; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Tymerlan Huseynov,Chornomorets Odesa,1990s,FW,,,,,5,https://www.allplayers.in.ua/ua/team_players/5,Low,Generated season scaffold from exact club spell 1993/94-1997/98; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Yuriy Nikiforov,Chornomorets Odesa,1990s,CB,,,,,,https://www.allplayers.in.ua/ua/team_players/5,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992-1993.
Ihor Zhabchenko,Chornomorets Odesa,1990s,MF,,,,,,https://www.allplayers.in.ua/ua/team_players/5,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s.
Olexandr Kosyrin,Chornomorets Odesa,2000s,FW,,,,,,https://www.allplayers.in.ua/ua/team_players/5,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2000s-2010s.
Olexandr Kosyrin,Chornomorets Odesa,2010s,FW,,,,,,https://www.allplayers.in.ua/ua/team_players/5,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2000s-2010s.
Ihor Khudobyak,Karpaty Lviv,2000s,AM/CM,,,,,5,https://www.allplayers.in.ua/ua/team_players/6,Low,Generated season scaffold from exact club spell 2005/06-2016/17; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Ihor Khudobyak,Karpaty Lviv,2010s,AM/CM,,,,,7,https://www.allplayers.in.ua/ua/team_players/6,Low,Generated season scaffold from exact club spell 2005/06-2016/17; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
