missing_player_name,normalized_missing_player_name,club_name,decade,position,seasons_at_club,appearances,goals,source_name,source_url,confidence,reason_for_inclusion,notes
Artem Fedetskyi,artem fedetskyi,Dnipro Dnipropetrovsk (- 2020),2010s,Defender,2012/13-2015/16,>=50,incomplete,ALLPLAYERS team players / Dnipro history references,https://www.allplayers.in.ua/ua/team_players/3 ; https://fcdnipro.com/news/30-znakovyh-gravcziv-dnipra.html,Medium,Ukraine national team right-back and key Dnipro player in the Europa League-final era.,Exact ALLPLAYERS total not visible in accessible snippet; verify Fedetskyi/Fedetskiy transliteration.
Samuel Inkoom,samuel inkoom,Dnipro Dnipropetrovsk (- 2020),2010s,Defender,2011/12-2013/14,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/3,Low,Ghana international fullback with substantial Dnipro senior involvement; possible 50+ candidate.,Lower confidence because exact league total was not visible; verify before adding.
Matheus,matheus,Dnipro Dnipropetrovsk (- 2020),2010s,Forward,2011/12-2015/16,113,35,ALLPLAYERS team scorers,https://www.allplayers.in.ua/ua/team_scorers/3,High,ALLPLAYERS team scorers snippet lists Matheus with 113 league appearances and 35 goals for Dnipro.,Not the same as Mateus Amaral / Matheus Lopes in current list; verify normalized duplicate policy.
Leo Matos,leo matos,Dnipro Dnipropetrovsk (- 2020),2010s,Defender,2010/11-2014/15,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/3,Medium,"Regular Dnipro fullback/wing-back in early 2010s, likely above 50 club league appearances.",Exact total not visible; verify spelling Leo Matos / Leonardo de Matos Cruz.
Serhiy Mizin,serhiy mizin,Metalist Kharkiv,2000s,Midfielder,2001/02-2004/05,>=50,incomplete,ALLPLAYERS team players / rivalry page,https://www.allplayers.in.ua/ua/team_players/4 ; https://uk.wikipedia.org/wiki/Суперництво_футбольних_клубів_«Дніпро»_та_«Металіст»,Medium,Recognizable Metalist midfielder and scorer in early-2000s Metalist-Dnipro rivalry records; plausible 50+ candidate.,Exact club apps not visible in snippets; verify before import.
Andriy Bordiyan,andriy bordiyan,Metalist Kharkiv,2000s,Defender,2006/07-2013/14,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/4,Medium,Long-serving Metalist defender during high-performing 2000s/2010s squad; likely above 50 league appearances.,Exact total unavailable in accessible snippet; Bordian/Bordiyan transliteration risk.
Andriy Bordiyan,andriy bordiyan,Metalist Kharkiv,2010s,Defender,2006/07-2013/14,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/4,Medium,Long-serving Metalist defender during high-performing 2000s/2010s squad; likely above 50 league appearances.,Exact total unavailable in accessible snippet; Bordian/Bordiyan transliteration risk.
Oleksandr Yaroshenko,oleksandr yaroshenko,Metalist Kharkiv,2000s,Midfielder,2005/06-2008/09,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/4,Low,Metalist regular in mid-2000s; potential 50+ omission.,Needs manual validation of exact appearances and whether he is already present under alternate spelling.
Roman Shandruk,roman shandruk,Metalist Kharkiv,2000s,Defender,2005/06-2008/09,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/4,Low,"Metalist defensive regular in 2000s, likely around or above 50 appearances.",Exact total unavailable; validate before insertion.
Vitaliy Levchenko,vitaliy levchenko,Arsenal Kyiv ( -2019),2000s,Midfielder,2002/03-2008/09,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/16,Medium,ALLPLAYERS team list shows Levchenko in Arsenal Kyiv top group; likely 50+ core player.,Exact total not visible in accessible snippet; verify before import.
Serhiy Symonenko,serhiy symonenko,Arsenal Kyiv ( -2019),2000s,Defender,2002/03-2007/08,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/16,Medium,ALLPLAYERS team list shows Symonenko in Arsenal Kyiv top group; Ukraine international defender.,Exact total not visible; transliteration risk: Simonenko/Symonenko.
Andriy Khomin,andriy khomin,Arsenal Kyiv ( -2019),2000s,Defender,2001/02-2005/06,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/16,Low,Possible 50+ Arsenal Kyiv regular from early 2000s; included as core-squad candidate.,Needs manual verification of exact total and decade span.
Oleksandr Hrytsay,oleksandr hrytsay,Arsenal Kyiv ( -2019),2000s,Midfielder,2009/10-2013/14,>=50,incomplete,ALLPLAYERS squad/team pages,https://www.allplayers.in.ua/ua/team_players/16 ; https://www.allplayers.in.ua/ua/team_squad/16/2009-2010,Medium,Arsenal Kyiv regular in late 2000s/early 2010s; allplayers squad snippets confirm senior appearances.,Exact aggregate not visible; likely duplicate risk if present under Hrytsai/Gritsay spelling.
Oleksandr Hrytsay,oleksandr hrytsay,Arsenal Kyiv ( -2019),2010s,Midfielder,2009/10-2013/14,>=50,incomplete,ALLPLAYERS squad/team pages,https://www.allplayers.in.ua/ua/team_players/16 ; https://www.allplayers.in.ua/ua/team_squad/16/2009-2010,Medium,Arsenal Kyiv regular in late 2000s/early 2010s; allplayers squad snippets confirm senior appearances.,Exact aggregate not visible; likely duplicate risk if present under Hrytsai/Gritsay spelling.
Mykyta Kamenyuka,mykyta kamenyuka,Zorya Lugansk,2000s,Defender,2007/08-2018/19,>=200,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/13,High,Long-time Zorya captain/regular; obvious 50+ core-squad omission if absent.,Exact aggregate not visible in accessible snippet; check Kamenyuka/Kamenuka transliteration.
Mykyta Kamenyuka,mykyta kamenyuka,Zorya Lugansk,2010s,Defender,2007/08-2018/19,>=200,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/13,High,Long-time Zorya captain/regular; obvious 50+ core-squad omission if absent.,Exact aggregate not visible in accessible snippet; check Kamenyuka/Kamenuka transliteration.
Zeljko Ljubenovic,zeljko ljubenovic,Zorya Lugansk,2010s,Midfielder,2012/13-2017/18,>=100,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/13,Medium,Long-serving Zorya midfielder and senior regular in 2010s.,Exact total not visible; spelling risk: Željko Ljubenović / Zeljko Lyubenovic.
Oleksandr Karavayev,oleksandr karavayev,Zorya Lugansk,2010s,Midfielder / Defender,2014/15-2016/17,>=50,incomplete,ALLPLAYERS team players / national-team references,https://www.allplayers.in.ua/ua/team_players/13,Medium,Ukraine international with a substantial Zorya spell; likely 50+ senior appearances for the club.,Exact total unavailable in snippet; verify before insert.
Dmytro Bilyi,dmytro bilyi,Zorya Lugansk,2000s,Defender,2009/10-2013/14,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/13,Low,Potential Zorya core player around the 50+ threshold.,Exact total not visible; transliteration risk: Bilyi/Biliy/Beliy.
Dmytro Bilyi,dmytro bilyi,Zorya Lugansk,2010s,Defender,2009/10-2013/14,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/13,Low,Potential Zorya core player around the 50+ threshold.,Exact total not visible; transliteration risk: Bilyi/Biliy/Beliy.
Vitaliy Rudenko,vitaliy rudenko,Chornomorets Odesa,1990s,Goalkeeper,1999/00-2012/13,180,0,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,High,Chornomorets records page lists Rudenko as club-record goalkeeper in Ukrainian championships with 180 league matches.,Stats from Chornomorets records page; verify if using only league appearances.
Vitaliy Rudenko,vitaliy rudenko,Chornomorets Odesa,2000s,Goalkeeper,1999/00-2012/13,180,0,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,High,Chornomorets records page lists Rudenko as club-record goalkeeper in Ukrainian championships with 180 league matches.,Stats from Chornomorets records page; verify if using only league appearances.
Vitaliy Rudenko,vitaliy rudenko,Chornomorets Odesa,2010s,Goalkeeper,1999/00-2012/13,180,0,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,High,Chornomorets records page lists Rudenko as club-record goalkeeper in Ukrainian championships with 180 league matches.,Stats from Chornomorets records page; verify if using only league appearances.
Vitaliy Kolesnichenko,vitaliy kolesnichenko,Chornomorets Odesa,1990s,Midfielder,1992-2000s,223,incomplete,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,High,"Chornomorets records page lists Kolesnichenko with 223 Ukrainian championship matches, the club record.",Exact seasons/goals need verification; records page supplies appearance record.
Vitaliy Kolesnichenko,vitaliy kolesnichenko,Chornomorets Odesa,2000s,Midfielder,1992-2000s,223,incomplete,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,High,"Chornomorets records page lists Kolesnichenko with 223 Ukrainian championship matches, the club record.",Exact seasons/goals need verification; records page supplies appearance record.
Yuriy Bukel,yuriy bukel,Chornomorets Odesa,1990s,Defender,1990s-2000s,166,incomplete,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,High,Chornomorets records page lists Bukel as defender record-holder with 166 Ukrainian championship matches.,Exact goals/seasons incomplete.
Yuriy Bukel,yuriy bukel,Chornomorets Odesa,2000s,Defender,1990s-2000s,166,incomplete,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,High,Chornomorets records page lists Bukel as defender record-holder with 166 Ukrainian championship matches.,Exact goals/seasons incomplete.
Oleksandr Zotov,oleksandr zotov,Chornomorets Odesa,2000s,Midfielder,2005/06-2013/14,139,13,ALLPLAYERS top players / Chornomorets records,https://www.allplayers.in.ua/ua/top_players ; https://www.allplayers.in.ua/ua/team_players/5,High,ALLPLAYERS top players snippet lists Zotov with Chornomorets 139/13; clear 50+ candidate.,Also had 59/3 for Kryvbas according to ALLPLAYERS top players.
Oleksandr Zotov,oleksandr zotov,Chornomorets Odesa,2010s,Midfielder,2005/06-2013/14,139,13,ALLPLAYERS top players / Chornomorets records,https://www.allplayers.in.ua/ua/top_players ; https://www.allplayers.in.ua/ua/team_players/5,High,ALLPLAYERS top players snippet lists Zotov with Chornomorets 139/13; clear 50+ candidate.,Also had 59/3 for Kryvbas according to ALLPLAYERS top players.
Oleksiy Hai,oleksiy hai,Chornomorets Odesa,2010s,Midfielder,2013/14-2014/15,>=50,incomplete,Chornomorets records / ALLPLAYERS national-career page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/national_career/437,Medium,Ukraine international and Chornomorets European-cup record holder among midfielders per records page.,Exact league total not visible; verify if 50+ in league only.
Dmytro Bezotosnyi,dmytro bezotosnyi,Chornomorets Odesa,2010s,Goalkeeper,2011/12-2014/15,>=50,0,Chornomorets records / ALLPLAYERS team page,https://uk.wikipedia.org/wiki/Статистика_та_рекорди_ФК_«Чорноморець»_Одеса ; https://www.allplayers.in.ua/ua/team_players/5,Medium,Chornomorets European-cup record goalkeeper and first-team starter in early 2010s; likely above 50 senior apps.,Exact league total not visible; verify before import.
Oleksandr Didenko,oleksandr didenko,Chornomorets Odesa,2000s,Forward,2006/07-2011/12,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/5,Medium,Long-serving Chornomorets forward in late 2000s/early 2010s; likely 50+ candidate.,Exact aggregate unavailable in accessible snippet.
Oleksandr Didenko,oleksandr didenko,Chornomorets Odesa,2010s,Forward,2006/07-2011/12,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/5,Medium,Long-serving Chornomorets forward in late 2000s/early 2010s; likely 50+ candidate.,Exact aggregate unavailable in accessible snippet.
Ihor Kislov,ihor kislov,Vorskla Poltava,1990s,Midfielder,1990s-2000s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/8,Low,Older Vorskla core-squad candidate likely above 50 league appearances.,Needs exact verification; lower confidence due limited accessible snippets.
Ihor Kislov,ihor kislov,Vorskla Poltava,2000s,Midfielder,1990s-2000s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/8,Low,Older Vorskla core-squad candidate likely above 50 league appearances.,Needs exact verification; lower confidence due limited accessible snippets.
Oleksandr Omelchuk,oleksandr omelchuk,Vorskla Poltava,1990s,Defender,1990s-2000s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/8,Low,Possible Vorskla 50+ player from older top-flight period.,Exact total unavailable; verify before adding.
Oleksandr Omelchuk,oleksandr omelchuk,Vorskla Poltava,2000s,Defender,1990s-2000s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/8,Low,Possible Vorskla 50+ player from older top-flight period.,Exact total unavailable; verify before adding.
Serhiy Chuichenko,serhiy chuichenko,Vorskla Poltava,1990s,Forward,1990s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/8,Low,Vorskla attacking regular from 1990s; possible 50+ omission.,Exact total unavailable; verify before import.
Vladimir Dishlenkovic,vladimir dishlenkovic,Metalurg Donetsk (- 2015),2000s,Goalkeeper,2005/06-2012/13,>=100,0,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,Long-serving Metalurg Donetsk goalkeeper and Serbia/Ukraine-capped player; clear core player.,Exact total unavailable; spelling risk: Disljenkovic/Dishlenkovich/Dyshlenkovych.
Vladimir Dishlenkovic,vladimir dishlenkovic,Metalurg Donetsk (- 2015),2010s,Goalkeeper,2005/06-2012/13,>=100,0,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,Long-serving Metalurg Donetsk goalkeeper and Serbia/Ukraine-capped player; clear core player.,Exact total unavailable; spelling risk: Disljenkovic/Dishlenkovich/Dyshlenkovych.
Cyriac,cyriac,Metalurg Donetsk (- 2015),2010s,Forward,2011/12-2014/15,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,Metalurg Donetsk attacking regular in early 2010s; likely 50+ league appearances.,Verify exact total and full name/normalization before importing.
Velizar Dimitrov,velizar dimitrov,Metalurg Donetsk (- 2015),2000s,Midfielder,2008/09-2011/12,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,Bulgarian international and Metalurg Donetsk regular; likely 50+ senior appearances.,Exact total not visible; verify.
Velizar Dimitrov,velizar dimitrov,Metalurg Donetsk (- 2015),2010s,Midfielder,2008/09-2011/12,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Medium,Bulgarian international and Metalurg Donetsk regular; likely 50+ senior appearances.,Exact total not visible; verify.
Alexandru Suvorov,alexandru suvorov,Metalurg Donetsk (- 2015),2010s,Midfielder,2010/11-2012/13,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/9,Low,Moldova international and regular Metalurg player; possible 50+ candidate.,Needs exact confirmation.
Oleksandr Nesterov,oleksandr nesterov,Metalurg Zaporizhya,2000s,Defender,2000s-2010s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/11,Low,Possible Metalurg Zaporizhya core defender above 50 appearances.,Exact source snippet unavailable; manual validation required.
Oleksandr Nesterov,oleksandr nesterov,Metalurg Zaporizhya,2010s,Defender,2000s-2010s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/11,Low,Possible Metalurg Zaporizhya core defender above 50 appearances.,Exact source snippet unavailable; manual validation required.
Viktor Gromov,viktor gromov,Kryvbas Kryvyi Rig,1990s,Defender,1990s-2000s,>=100,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/10,High,"ALLPLAYERS search snippet lists Gromov #3 in Kryvbas all-player ranking, indicating a major core player.",Exact stats not visible in accessible snippet.
Viktor Gromov,viktor gromov,Kryvbas Kryvyi Rig,2000s,Defender,1990s-2000s,>=100,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/10,High,"ALLPLAYERS search snippet lists Gromov #3 in Kryvbas all-player ranking, indicating a major core player.",Exact stats not visible in accessible snippet.
Hennadiy Prykhodko,hennadiy prykhodko,Kryvbas Kryvyi Rig,1990s,Midfielder,1990s-2000s,>=100,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/10,High,ALLPLAYERS search snippet lists Prykhodko #4 in Kryvbas all-player ranking; clear core-squad candidate.,Exact stats not visible; spelling risk: Prykhodko/Prikhodko.
Hennadiy Prykhodko,hennadiy prykhodko,Kryvbas Kryvyi Rig,2000s,Midfielder,1990s-2000s,>=100,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/10,High,ALLPLAYERS search snippet lists Prykhodko #4 in Kryvbas all-player ranking; clear core-squad candidate.,Exact stats not visible; spelling risk: Prykhodko/Prikhodko.
Oleksandr Zotov,oleksandr zotov,Kryvbas Kryvyi Rig,2000s,Midfielder,2000s,59,3,ALLPLAYERS top players,https://www.allplayers.in.ua/ua/top_players ; https://www.allplayers.in.ua/ua/team_players/10,High,"ALLPLAYERS top players snippet lists Zotov with Kryvbas 59/3, meeting 50+ threshold.",Same player also listed for Chornomorets; include both club-decade rows because player is absent from current game list.
Ihor Oshchypko,ihor oshchypko,Karpaty Lviv,2000s,Defender,2008/09-2012/13,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/6,Medium,Karpaty and Ukraine national-team defender; likely above 50 appearances for club.,Exact total unavailable.
Ihor Oshchypko,ihor oshchypko,Karpaty Lviv,2010s,Defender,2008/09-2012/13,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/6,Medium,Karpaty and Ukraine national-team defender; likely above 50 appearances for club.,Exact total unavailable.
Sambou Yatabare,sambou yatabare,Karpaty Lviv,2010s,Midfielder,2011/12-2012/13,>=50,incomplete,ALLPLAYERS team players / legionnaires,https://www.allplayers.in.ua/ua/team_players/6 ; https://www.allplayers.in.ua/ua/club_legioner/6,Low,Karpaty foreign regular; possible 50+ candidate.,Lower confidence; exact number needs verification.
Maicon,maicon,Volyn Lutsk,2010s,Forward,2010/11-2011/12,>=50,incomplete,ALLPLAYERS team players / scorers,https://www.allplayers.in.ua/ua/team_players/14 ; https://www.allplayers.in.ua/ua/team_scorers/14,Medium,Volyn high-impact forward in early 2010s and notable scorer; possible 50+ candidate.,Exact appearance total not visible; verify whether he is already represented under full name.
Andriy Hitchenko,andriy hitchenko,FC Oleksandriya,2010s,Defender,2016/17-2020/21,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/25,Medium,Oleksandriya defensive regular during stable UPL period; likely 50+ candidate.,Exact total unavailable in snippet.
Andriy Hitchenko,andriy hitchenko,FC Oleksandriya,2020s,Defender,2016/17-2020/21,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/25,Medium,Oleksandriya defensive regular during stable UPL period; likely 50+ candidate.,Exact total unavailable in snippet.
Roman Lytovchak,roman lytovchak,Borysfen Boryspil (- 2007),2000s,Midfielder,1990s-2000s,196,31,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/24,High,ALLPLAYERS snippet lists Lytovchak #1 for Borysfen with 196 apps and 31 goals.,Club in game only has 2000s decade; total may include seasons outside top division/decade depending ALLPLAYERS scope.
Maksym Stoyan,maksym stoyan,Borysfen Boryspil (- 2007),2000s,Midfielder,2000s,>=50,incomplete,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/24,Medium,ALLPLAYERS snippet lists Stoyan #2 in Borysfen all-player ranking; likely 50+ candidate.,Exact total not visible.
Volodymyr Avramenko,volodymyr avramenko,Desna Chernigiv,2010s,Midfielder,2000s-2010s,290,54,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/1794,High,ALLPLAYERS snippet lists Avramenko with 290 appearances and 54 goals for Desna.,Desna game decades are 2010s/2020s; verify which appearances were in senior professional seasons covered by game scope.
Oleksandr Kozhemyachenko,oleksandr kozhemyachenko,Desna Chernigiv,2010s,Forward,2000s-2010s,288,116,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/1794,High,ALLPLAYERS snippet lists Kozhemyachenko with 288 appearances and 116 goals for Desna.,Potentially includes lower-division years; validate against desired top-division-only logic before import.
