scope,runs,id,title_ua,title_en,competition,count,frequency,frequency_percent
overall,120000,58,"Пливли-пливли, а на березі...",Ch-ch-ch-choke Me!,Cup,912,0.0076,0.76
overall,120000,59,"I Am from Bosnia, Take Me to America","I Am from Bosnia, Take Me to America",Both,256,0.0021333333333333334,0.21333333333333335
overall,120000,60,На мінімалках,Bare Minimum,Cup,26,0.00021666666666666666,0.021666666666666667
overall,120000,61,Динамівські серця,Hearts of “Dynamo”,Both,12,0.0001,0.01
overall,120000,62,Фінал 2006,Final 2006,Cup,10,0.00008333333333333333,0.008333333333333333
overall,120000,63,Легенда «Барселони»,Barcelona’s Legend,Both,324,0.0027,0.27
overall,120000,64,Промислова революція,Industrial Revolution,Both,3150,0.02625,2.625
overall,120000,65,Два крила,Two Wings,Both,10,0.00008333333333333333,0.008333333333333333
overall,120000,66,Крізь роки,Through the Years,Both,46,0.00038333333333333334,0.03833333333333334
overall,120000,67,Кобзарі,The Kobzars,Both,0,0,0
overall,120000,68,Акт Злуки,Act of Unity,Both,12480,0.104,10.4
overall,120000,69,Кордони 1991,Borders of 1991,Both,208,0.0017333333333333333,0.17333333333333334
overall,120000,70,Львівське метро,Lviv Metro,Both,884,0.007366666666666666,0.7366666666666666
overall,120000,71,Котлета по-київськи,Chicken Kyiv,Both,546,0.00455,0.455
overall,120000,72,Кубок світу,World Cup,Both,0,0,0
overall,120000,73,Кубок Африки,Africa Cup,Both,0,0,0
overall,120000,74,День бабака,Groundhog Day,Cup,692,0.0057666666666666665,0.5766666666666667
overall,120000,75,Стара школа,Old School,Both,107,0.0008916666666666667,0.08916666666666667
overall,120000,76,Так!,Yes!,Both,5790,0.04825,4.825
overall,120000,77,Покращення вже сьогодні,A Better Life Today,Both,11780,0.09816666666666667,9.816666666666666
overall,120000,78,Опорник із Запоріжжя,CDM from Zaporizhzhia,Both,1292,0.010766666666666667,1.0766666666666667
overall,120000,79,Мужики,The Lads,Both,764,0.006366666666666666,0.6366666666666666
overall,120000,80,Бойся Бога і пацанов с Крівова Рога,Fear God and Chaps from Kryvyi Rih,Both,912,0.0076,0.76
overall,120000,81,Олександрійське диво,Oleksandriya Miracle,Both,102,0.00085,0.08499999999999999
overall,120000,82,Ковалівка в Європі,Kovalivka in Europe,Both,190,0.0015833333333333333,0.15833333333333333
overall,120000,83,Потримай моє пиво,Hold My Beer,Both,384,0.0032,0.32
overall,120000,84,Українське класичне,Ukrainian Clásico,Both,444,0.0037,0.37
overall,120000,85,"Ми всі різні, але ми українці",United Ukraine,Both,2582,0.021516666666666667,2.151666666666667
overall,120000,86,Міміно,Mimino,Both,40,0.0003333333333333333,0.03333333333333333
overall,120000,87,Суперорли,Super Eagles,Both,12,0.0001,0.01
overall,120000,88,Лінія Мажино,Maginot Line,Both,0,0,0
overall,120000,89,П’ять пальців,Five Fingers,Both,30570,0.25475,25.474999999999998
overall,120000,90,П’ятий елемент,The Fifth Element,Both,114,0.00095,0.095
overall,120000,91,Тризуб,Tryzub,Both,19106,0.15921666666666667,15.921666666666667
overall,120000,92,Дуплет,Double Tap,Both,2856,0.0238,2.3800000000000003
overall,120000,93,Це нормально,This Is Fine,League,18,0.00015,0.015
overall,120000,94,Кийов і Львов не указ Ужгородови,Kyiv and Lviv Don’t Rule Uzhorod,Both,4118,0.03431666666666667,3.431666666666667
overall,120000,95,Албанська мафія,"Ti Shqipëri, më jep nder",Both,22,0.00018333333333333334,0.018333333333333333
competition:league,60000,1,Кєнти,Kents,Both,0,0,0
competition:league,60000,2,Файне місто,Faine Misto,Both,0,0,0
competition:league,60000,3,Третя сила,The Third Force,Both,66,0.0011,0.11
competition:league,60000,4,Мрія Луческу,Lucescu’s Dream,Both,0,0,0
competition:league,60000,5,Іноземний легіон,Foreign Legion,Both,0,0,0
competition:league,60000,6,Слава Україні!,Slava Ukraini!,Both,5262,0.0877,8.77
competition:league,60000,7,Донбас порожняк не гонить,Donbas Delivers,Both,12,0.0002,0.02
competition:league,60000,8,Крим — це Україна!,Crimea Is Ukraine!,Both,710,0.011833333333333333,1.1833333333333333
competition:league,60000,9,Кубок Львову!,Cup to Lviv!,Cup,0,0,0
competition:league,60000,10,Зрада,Zrada,Both,30916,0.5152666666666667,51.526666666666664
competition:league,60000,11,За Вами виїхала СБУ,SBU Is Coming for You,Both,9002,0.15003333333333332,15.003333333333332
competition:league,60000,12,Перед каждою ігрою!..,Before Every Game!..,League,10464,0.1744,17.44
competition:league,60000,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,9838,0.16396666666666668,16.39666666666667
competition:league,60000,14,Перші назавжди,First Forever,League,26,0.0004333333333333333,0.043333333333333335
competition:league,60000,15,Весна 1999,Spring 1999,Both,6,0.0001,0.01
competition:league,60000,16,Стамбул 2009,Istanbul 2009,Cup,0,0,0
competition:league,60000,17,Варшава 2015,Warsaw 2015,Cup,0,0,0
competition:league,60000,18,Ударна пара,Strike Partnership,Both,0,0,0
competition:league,60000,19,Золотий м’яч,Ballon d’Or,Both,4,0.00006666666666666667,0.006666666666666667
competition:league,60000,20,СаШо,SaSho,Cup,0,0,0
competition:league,60000,21,Німеччина 2006,Germany 2006,Both,0,0,0
competition:league,60000,22,Перший Кубок,The First Cup,Cup,0,0,0
competition:league,60000,23,Непереможні,Invincibles,League,0,0,0
competition:league,60000,24,Безкомпромісні,No Compromises,League,12,0.0002,0.02
competition:league,60000,25,Ідеально збалансовано,Perfectly Balanced,League,822,0.0137,1.37
competition:league,60000,26,Потужно,Powerful Stuff,League,0,0,0
competition:league,60000,27,Сухий закон,Prohibition,Both,2,0.000033333333333333335,0.0033333333333333335
competition:league,60000,28,На класі,Pure Class,Cup,0,0,0
competition:league,60000,29,Нерви зі сталі,Nerves of Steel,Cup,0,0,0
competition:league,60000,30,Завдання провалено успішно,Task Failed Successfully,Cup,0,0,0
competition:league,60000,31,Я так бачу,Trust My Eyes,Both,161,0.002683333333333333,0.2683333333333333
competition:league,60000,32,Монобільшість,Single-Party Majority,Both,0,0,0
competition:league,60000,33,Коаліція,Coalition,Both,10656,0.1776,17.76
competition:league,60000,34,Три мушкетери,The Three Musketeers,Both,26,0.0004333333333333333,0.043333333333333335
competition:league,60000,35,Автобус припарковано,Bus Parked,Both,6,0.0001,0.01
competition:league,60000,36,"Гдє «Дінамо», гдє?",Where TF “Dynamo” at?,Both,4,0.00006666666666666667,0.006666666666666667
competition:league,60000,37,На благо города і всєх харьковчан,For the Good of Kharkiv and All of the Citizens,Both,2,0.000033333333333333335,0.0033333333333333335
competition:league,60000,38,Ящик горілки,A Crate of Vodka,Both,98,0.0016333333333333334,0.16333333333333333
competition:league,60000,39,Полтавська битва,Battle of Poltava,Cup,0,0,0
competition:league,60000,40,Дніпровський тандем,Dnipro Tandem,Both,18,0.0003,0.03
competition:league,60000,41,Серце «Шахтаря»,Heart of Shakhtar,Both,2,0.000033333333333333335,0.0033333333333333335
competition:league,60000,42,Бразильський трикутник,Brazilian Triangle,Both,0,0,0
competition:league,60000,43,Слава нації,"Good Evening, We Are from Ukraine",Both,5,0.00008333333333333333,0.008333333333333333
competition:league,60000,44,ООН,United Nations,Both,34,0.0005666666666666667,0.05666666666666667
competition:league,60000,45,Балканський експрес,Balkan Express,Both,4,0.00006666666666666667,0.006666666666666667
competition:league,60000,46,Латиноамериканський квартал,Latin Quarter,Both,2,0.000033333333333333335,0.0033333333333333335
competition:league,60000,47,Різні епохи. Один склад.,Different Eras. One Squad.,Both,6416,0.10693333333333334,10.693333333333333
competition:league,60000,48,Жити по-новому,Living a New Way,Both,4972,0.08286666666666667,8.286666666666667
competition:league,60000,49,Назад у 90-ті,Back to the ’90s,Both,2,0.000033333333333333335,0.0033333333333333335
competition:league,60000,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,2,0.000033333333333333335,0.0033333333333333335
competition:league,60000,51,Нічия влаштовує,A Draw Will Do,League,248,0.0041333333333333335,0.41333333333333333
competition:league,60000,52,"Маємо те, що маємо",It Is What It Is,League,1898,0.03163333333333333,3.163333333333333
competition:league,60000,53,На тоненького,By a Thread,League,0,0,0
competition:league,60000,54,Бавовна,Bavovna,League,0,0,0
competition:league,60000,55,Захист для слабаків,Defense Optional,League,46,0.0007666666666666667,0.07666666666666667
competition:league,60000,56,Лото «Забава»,The Lottery,Cup,0,0,0
competition:league,60000,57,На 120-й,In the 120th,Cup,0,0,0
competition:league,60000,58,"Пливли-пливли, а на березі...",Ch-ch-ch-choke Me!,Cup,0,0,0
competition:league,60000,59,"I Am from Bosnia, Take Me to America","I Am from Bosnia, Take Me to America",Both,144,0.0024,0.24
competition:league,60000,60,На мінімалках,Bare Minimum,Cup,0,0,0
competition:league,60000,61,Динамівські серця,Hearts of “Dynamo”,Both,6,0.0001,0.01
competition:league,60000,62,Фінал 2006,Final 2006,Cup,0,0,0
competition:league,60000,63,Легенда «Барселони»,Barcelona’s Legend,Both,156,0.0026,0.26
competition:league,60000,64,Промислова революція,Industrial Revolution,Both,1736,0.028933333333333332,2.893333333333333
competition:league,60000,65,Два крила,Two Wings,Both,2,0.000033333333333333335,0.0033333333333333335
competition:league,60000,66,Крізь роки,Through the Years,Both,18,0.0003,0.03
competition:league,60000,67,Кобзарі,The Kobzars,Both,0,0,0
competition:league,60000,68,Акт Злуки,Act of Unity,Both,6956,0.11593333333333333,11.593333333333334
competition:league,60000,69,Кордони 1991,Borders of 1991,Both,106,0.0017666666666666666,0.17666666666666667
competition:league,60000,70,Львівське метро,Lviv Metro,Both,476,0.007933333333333334,0.7933333333333334
competition:league,60000,71,Котлета по-київськи,Chicken Kyiv,Both,218,0.0036333333333333335,0.36333333333333334
competition:league,60000,72,Кубок світу,World Cup,Both,0,0,0
competition:league,60000,73,Кубок Африки,Africa Cup,Both,0,0,0
competition:league,60000,74,День бабака,Groundhog Day,Cup,0,0,0
competition:league,60000,75,Стара школа,Old School,Both,54,0.0009,0.09
competition:league,60000,76,Так!,Yes!,Both,3212,0.053533333333333336,5.3533333333333335
competition:league,60000,77,Покращення вже сьогодні,A Better Life Today,Both,8334,0.1389,13.889999999999999
competition:league,60000,78,Опорник із Запоріжжя,CDM from Zaporizhzhia,Both,684,0.0114,1.1400000000000001
competition:league,60000,79,Мужики,The Lads,Both,458,0.007633333333333333,0.7633333333333333
competition:league,60000,80,Бойся Бога і пацанов с Крівова Рога,Fear God and Chaps from Kryvyi Rih,Both,488,0.008133333333333333,0.8133333333333332
competition:league,60000,81,Олександрійське диво,Oleksandriya Miracle,Both,98,0.0016333333333333334,0.16333333333333333
competition:league,60000,82,Ковалівка в Європі,Kovalivka in Europe,Both,114,0.0019,0.19
competition:league,60000,83,Потримай моє пиво,Hold My Beer,Both,288,0.0048,0.48
competition:league,60000,84,Українське класичне,Ukrainian Clásico,Both,284,0.004733333333333333,0.47333333333333333
competition:league,60000,85,"Ми всі різні, але ми українці",United Ukraine,Both,1042,0.017366666666666666,1.7366666666666666
competition:league,60000,86,Міміно,Mimino,Both,24,0.0004,0.04
competition:league,60000,87,Суперорли,Super Eagles,Both,6,0.0001,0.01
competition:league,60000,88,Лінія Мажино,Maginot Line,Both,0,0,0
competition:league,60000,89,П’ять пальців,Five Fingers,Both,14950,0.24916666666666668,24.916666666666668
competition:league,60000,90,П’ятий елемент,The Fifth Element,Both,56,0.0009333333333333333,0.09333333333333334
competition:league,60000,91,Тризуб,Tryzub,Both,9108,0.1518,15.18
competition:league,60000,92,Дуплет,Double Tap,Both,1796,0.029933333333333333,2.993333333333333
competition:league,60000,93,Це нормально,This Is Fine,League,18,0.0003,0.03
competition:league,60000,94,Кийов і Львов не указ Ужгородови,Kyiv and Lviv Don’t Rule Uzhorod,Both,2188,0.03646666666666667,3.646666666666667
competition:league,60000,95,Албанська мафія,"Ti Shqipëri, më jep nder",Both,12,0.0002,0.02
formation:4-4-2,40000,1,Кєнти,Kents,Both,0,0,0
formation:4-4-2,40000,2,Файне місто,Faine Misto,Both,138,0.00345,0.345
formation:4-4-2,40000,3,Третя сила,The Third Force,Both,62,0.00155,0.155
formation:4-4-2,40000,4,Мрія Луческу,Lucescu’s Dream,Both,0,0,0
formation:4-4-2,40000,5,Іноземний легіон,Foreign Legion,Both,0,0,0
formation:4-4-2,40000,6,Слава Україні!,Slava Ukraini!,Both,3848,0.0962,9.62
formation:4-4-2,40000,7,Донбас порожняк не гонить,Donbas Delivers,Both,6,0.00015,0.015
formation:4-4-2,40000,8,Крим — це Україна!,Crimea Is Ukraine!,Both,524,0.0131,1.31
formation:4-4-2,40000,9,Кубок Львову!,Cup to Lviv!,Cup,22,0.00055,0.055
formation:4-4-2,40000,10,Зрада,Zrada,Both,21380,0.5345,53.449999999999996
formation:4-4-2,40000,11,За Вами виїхала СБУ,SBU Is Coming for You,Both,6698,0.16745,16.744999999999997
formation:4-4-2,40000,12,Перед каждою ігрою!..,Before Every Game!..,League,3442,0.08605,8.605
formation:4-4-2,40000,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,10132,0.2533,25.330000000000002
formation:4-4-2,40000,14,Перші назавжди,First Forever,League,8,0.0002,0.02
formation:4-4-2,40000,15,Весна 1999,Spring 1999,Both,4,0.0001,0.01
formation:4-4-2,40000,16,Стамбул 2009,Istanbul 2009,Cup,0,0,0
formation:4-4-2,40000,17,Варшава 2015,Warsaw 2015,Cup,2,0.00005,0.005
formation:4-4-2,40000,18,Ударна пара,Strike Partnership,Both,0,0,0
formation:4-4-2,40000,19,Золотий м’яч,Ballon d’Or,Both,6,0.00015,0.015
formation:4-4-2,40000,20,СаШо,SaSho,Cup,16,0.0004,0.04
formation:4-4-2,40000,21,Німеччина 2006,Germany 2006,Both,0,0,0
formation:4-4-2,40000,22,Перший Кубок,The First Cup,Cup,0,0,0
formation:4-4-2,40000,23,Непереможні,Invincibles,League,0,0,0
formation:4-4-2,40000,24,Безкомпромісні,No Compromises,League,2,0.00005,0.005
formation:4-4-2,40000,25,Ідеально збалансовано,Perfectly Balanced,League,272,0.0068,0.6799999999999999
formation:4-4-2,40000,26,Потужно,Powerful Stuff,League,0,0,0
formation:4-4-2,40000,27,Сухий закон,Prohibition,Both,4,0.0001,0.01
formation:4-4-2,40000,28,На класі,Pure Class,Cup,20,0.0005,0.05
formation:4-4-2,40000,29,Нерви зі сталі,Nerves of Steel,Cup,16,0.0004,0.04
formation:4-4-2,40000,30,Завдання провалено успішно,Task Failed Successfully,Cup,0,0,0
formation:4-4-2,40000,31,Я так бачу,Trust My Eyes,Both,107,0.002675,0.26749999999999996
formation:4-4-2,40000,32,Монобільшість,Single-Party Majority,Both,0,0,0
formation:4-4-2,40000,33,Коаліція,Coalition,Both,7804,0.1951,19.509999999999998
formation:4-4-2,40000,34,Три мушкетери,The Three Musketeers,Both,0,0,0
formation:4-4-2,40000,35,Автобус припарковано,Bus Parked,Both,0,0,0
formation:4-4-2,40000,36,"Гдє «Дінамо», гдє?",Where TF “Dynamo” at?,Both,2,0.00005,0.005
formation:4-4-2,40000,37,На благо города і всєх харьковчан,For the Good of Kharkiv and All of the Citizens,Both,0,0,0
formation:4-4-2,40000,38,Ящик горілки,A Crate of Vodka,Both,74,0.00185,0.185
formation:4-4-2,40000,39,Полтавська битва,Battle of Poltava,Cup,10,0.00025,0.025
formation:4-4-2,40000,40,Дніпровський тандем,Dnipro Tandem,Both,4,0.0001,0.01
formation:4-4-2,40000,41,Серце «Шахтаря»,Heart of Shakhtar,Both,2,0.00005,0.005
formation:4-4-2,40000,42,Бразильський трикутник,Brazilian Triangle,Both,0,0,0
formation:4-4-2,40000,43,Слава нації,"Good Evening, We Are from Ukraine",Both,9,0.000225,0.0225
formation:4-4-2,40000,44,ООН,United Nations,Both,16,0.0004,0.04
formation:4-4-2,40000,45,Балканський експрес,Balkan Express,Both,0,0,0
formation:4-4-2,40000,46,Латиноамериканський квартал,Latin Quarter,Both,0,0,0
formation:4-4-2,40000,47,Різні епохи. Один склад.,Different Eras. One Squad.,Both,8324,0.2081,20.810000000000002
formation:4-4-2,40000,48,Жити по-новому,Living a New Way,Both,2306,0.05765,5.765
formation:4-4-2,40000,49,Назад у 90-ті,Back to the ’90s,Both,270,0.00675,0.675
formation:4-4-2,40000,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,0,0,0
formation:4-4-2,40000,51,Нічия влаштовує,A Draw Will Do,League,72,0.0018,0.18
formation:4-4-2,40000,52,"Маємо те, що маємо",It Is What It Is,League,654,0.01635,1.635
formation:4-4-2,40000,53,На тоненького,By a Thread,League,0,0,0
formation:4-4-2,40000,54,Бавовна,Bavovna,League,0,0,0
formation:4-4-2,40000,55,Захист для слабаків,Defense Optional,League,18,0.00045,0.045
formation:4-4-2,40000,56,Лото «Забава»,The Lottery,Cup,22,0.00055,0.055
formation:4-4-2,40000,57,На 120-й,In the 120th,Cup,8,0.0002,0.02
formation:4-4-2,40000,58,"Пливли-пливли, а на березі...",Ch-ch-ch-choke Me!,Cup,332,0.0083,0.83
formation:4-4-2,40000,59,"I Am from Bosnia, Take Me to America","I Am from Bosnia, Take Me to America",Both,82,0.00205,0.20500000000000002
formation:4-4-2,40000,60,На мінімалках,Bare Minimum,Cup,12,0.0003,0.03
formation:4-4-2,40000,61,Динамівські серця,Hearts of “Dynamo”,Both,2,0.00005,0.005
formation:4-4-2,40000,62,Фінал 2006,Final 2006,Cup,2,0.00005,0.005
formation:4-4-2,40000,63,Легенда «Барселони»,Barcelona’s Legend,Both,60,0.0015,0.15
formation:4-4-2,40000,64,Промислова революція,Industrial Revolution,Both,1102,0.02755,2.7550000000000003
formation:4-4-2,40000,65,Два крила,Two Wings,Both,4,0.0001,0.01
formation:4-4-2,40000,66,Крізь роки,Through the Years,Both,16,0.0004,0.04
formation:4-4-2,40000,67,Кобзарі,The Kobzars,Both,0,0,0
formation:4-4-2,40000,68,Акт Злуки,Act of Unity,Both,4100,0.1025,10.25
formation:4-4-2,40000,69,Кордони 1991,Borders of 1991,Both,70,0.00175,0.17500000000000002
formation:4-4-2,40000,70,Львівське метро,Lviv Metro,Both,288,0.0072,0.72
formation:4-4-2,40000,71,Котлета по-київськи,Chicken Kyiv,Both,200,0.005,0.5
formation:4-4-2,40000,72,Кубок світу,World Cup,Both,0,0,0
formation:4-4-2,40000,73,Кубок Африки,Africa Cup,Both,0,0,0
formation:4-4-2,40000,74,День бабака,Groundhog Day,Cup,264,0.0066,0.66
formation:4-4-2,40000,75,Стара школа,Old School,Both,107,0.002675,0.26749999999999996
formation:4-4-2,40000,76,Так!,Yes!,Both,1882,0.04705,4.705
formation:4-4-2,40000,77,Покращення вже сьогодні,A Better Life Today,Both,4046,0.10115,10.115
formation:4-4-2,40000,78,Опорник із Запоріжжя,CDM from Zaporizhzhia,Both,562,0.01405,1.405
formation:4-4-2,40000,79,Мужики,The Lads,Both,308,0.0077,0.77
formation:4-4-2,40000,80,Бойся Бога і пацанов с Крівова Рога,Fear God and Chaps from Kryvyi Rih,Both,284,0.0071,0.7100000000000001
formation:4-4-2,40000,81,Олександрійське диво,Oleksandriya Miracle,Both,36,0.0009,0.09
formation:4-4-2,40000,82,Ковалівка в Європі,Kovalivka in Europe,Both,64,0.0016,0.16
formation:4-4-2,40000,83,Потримай моє пиво,Hold My Beer,Both,130,0.00325,0.325
formation:4-4-2,40000,84,Українське класичне,Ukrainian Clásico,Both,158,0.00395,0.395
formation:4-4-2,40000,85,"Ми всі різні, але ми українці",United Ukraine,Both,794,0.01985,1.9849999999999999
formation:4-4-2,40000,86,Міміно,Mimino,Both,14,0.00035,0.034999999999999996
formation:4-4-2,40000,87,Суперорли,Super Eagles,Both,10,0.00025,0.025
formation:4-4-2,40000,88,Лінія Мажино,Maginot Line,Both,0,0,0
formation:4-4-2,40000,89,П’ять пальців,Five Fingers,Both,0,0,0
formation:4-4-2,40000,90,П’ятий елемент,The Fifth Element,Both,0,0,0
formation:4-4-2,40000,91,Тризуб,Tryzub,Both,0,0,0
formation:4-4-2,40000,92,Дуплет,Double Tap,Both,1010,0.02525,2.5250000000000004
formation:4-4-2,40000,93,Це нормально,This Is Fine,League,6,0.00015,0.015
formation:4-4-2,40000,94,Кийов і Львов не указ Ужгородови,Kyiv and Lviv Don’t Rule Uzhorod,Both,1354,0.03385,3.385
formation:4-4-2,40000,95,Албанська мафія,"Ti Shqipëri, më jep nder",Both,6,0.00015,0.015
mode:normal,60000,1,Кєнти,Kents,Both,0,0,0
mode:normal,60000,2,Файне місто,Faine Misto,Both,251,0.004183333333333333,0.41833333333333333
mode:normal,60000,3,Третя сила,The Third Force,Both,102,0.0017,0.16999999999999998
mode:normal,60000,4,Мрія Луческу,Lucescu’s Dream,Both,0,0,0
mode:normal,60000,5,Іноземний легіон,Foreign Legion,Both,0,0,0
mode:normal,60000,6,Слава Україні!,Slava Ukraini!,Both,6009,0.10015,10.015
mode:normal,60000,7,Донбас порожняк не гонить,Donbas Delivers,Both,10,0.00016666666666666666,0.016666666666666666
mode:normal,60000,8,Крим — це Україна!,Crimea Is Ukraine!,Both,707,0.011783333333333333,1.1783333333333332
mode:normal,60000,9,Кубок Львову!,Cup to Lviv!,Cup,46,0.0007666666666666667,0.07666666666666667
mode:normal,60000,10,Зрада,Zrada,Both,32254,0.5375666666666666,53.75666666666666
mode:normal,60000,11,За Вами виїхала СБУ,SBU Is Coming for You,Both,9975,0.16625,16.625
mode:normal,60000,12,Перед каждою ігрою!..,Before Every Game!..,League,5232,0.0872,8.72
mode:normal,60000,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,15541,0.2590166666666667,25.901666666666667
mode:normal,60000,14,Перші назавжди,First Forever,League,13,0.00021666666666666666,0.021666666666666667
mode:normal,60000,15,Весна 1999,Spring 1999,Both,6,0.0001,0.01
mode:normal,60000,16,Стамбул 2009,Istanbul 2009,Cup,2,0.000033333333333333335,0.0033333333333333335
mode:normal,60000,17,Варшава 2015,Warsaw 2015,Cup,2,0.000033333333333333335,0.0033333333333333335
mode:normal,60000,18,Ударна пара,Strike Partnership,Both,0,0,0
mode:normal,60000,19,Золотий м’яч,Ballon d’Or,Both,5,0.00008333333333333333,0.008333333333333333
mode:normal,60000,20,СаШо,SaSho,Cup,21,0.00035,0.034999999999999996
mode:normal,60000,21,Німеччина 2006,Germany 2006,Both,0,0,0
mode:normal,60000,22,Перший Кубок,The First Cup,Cup,1,0.000016666666666666667,0.0016666666666666668
mode:normal,60000,23,Непереможні,Invincibles,League,0,0,0
mode:normal,60000,24,Безкомпромісні,No Compromises,League,6,0.0001,0.01
mode:normal,60000,25,Ідеально збалансовано,Perfectly Balanced,League,411,0.00685,0.685
mode:normal,60000,26,Потужно,Powerful Stuff,League,0,0,0
